title,lokasi,harga,kamar_tidur,luas_bangunan_m2,luas_tanah_m2
"Rumah Exclusive ada Swimming Pool di Sektor 8 Bintaro Jaya,Hr 10294 Rd","Bintaro, Tangerang Selatan",Rp30.000.000.000,4,400 m²,1700 m²
Rumah  dijual di Nusa Loka BSD Siap Huni (HS87),"Bumi Serpong Damai, Tangerang Selatan",Rp2.800.000.000,5,180 m²,105 m²
Rumah mewah di Bintaro Jaya Sektor 9 (1991SF),"Bintaro, Tangerang Selatan",Rp6.200.000.000,7,160 m²,379 m²
Rumah dijual di Bintaro Sektor 9 Puri Bintaro,"Bintaro, Tangerang Selatan",Rp2.400.000.000,4,100 m²,120 m²
Dijual Cepat Rumah Asri Siap Huni di Pamulang,"Pamulang, Tangerang Selatan",Rp2.150.000.000,5,140 m²,427 m²
"Rumah Furnish Siap Huni di Pamulang Tangsel, Bisa Kpr Free Biaya","Pamulang, Tangerang Selatan",Rp1.560.000.000,2,65 m²,120 m²
Dijual rumah tinggal dikawasan Tangerang Selatan Pondok Aren,Tangerang Selatan,Rp8.500.000.000,4,250 m²,360 m²
"Rumah 2 Lantai Baru dan Mewah Dijual di Kencana Loka Sektor 12.3, BSD","Serpong, Tangerang Selatan",Rp4.500.000.000,4,300 m²,200 m²
"Rumah Super Murah Dijual di Villa Melati Mas, Serpong Utara","Serpong Utara, Tangerang Selatan",Rp1.900.000.000,3,180 m²,140 m²
Dijual Cepat Rumah 2 Lantai Berkonsep Bali di Kencana Loka BSD,"Bumi Serpong Damai, Tangerang Selatan",Rp1.850.000.000,3,108 m²,84 m²
Rumah Mewah American Classic Siap Huni Kebayoran Residence Bintaro,"Bintaro, Tangerang Selatan",Rp14.500.000.000,6,300 m²,323 m²
Dijual Cepat Rumah Baru Cantik DI Hook Kebayoran Sektor 7 Bintaro,"Bintaro, Tangerang Selatan",Rp4.500.000.000,3,187 m²,186 m²
