kamar_tidur,luas_bangunan_m2,luas_tanah_m2,kota,harga
3,200,119,tangerang_selatan,2500000000
3,125,170,tangerang_selatan,2900000000
4,135,80,tangerang_selatan,2550000000
4,165,90,tangerang_selatan,2700000000
3,78,117,tangerang_selatan,1990000000
4,200,600,tangerang_selatan,5500000000
4,130,135,tangerang_selatan,1500000000
2,40,60,tangerang_selatan,700000000
3,85,65,tangerang_selatan,1543000000
2,70,78,tangerang_selatan,550000000
3,72,72,tangerang_selatan,900000000
5,185,150,tangerang_selatan,3800000000
3,55,60,tangerang_selatan,871875000
3,100,84,tangerang_selatan,2650000000
4,180,144,tangerang_selatan,3900000000
3,80,62,tangerang_selatan,1400000000
2,110,120,tangerang_selatan,2450000000
3,200,180,tangerang_selatan,3680000000
3,81,60,tangerang_selatan,2100000000
4,210,144,tangerang_selatan,2750000000
2,40,60,tangerang_selatan,540000000
4,142,120,tangerang_selatan,3150000000
3,154,77,tangerang_selatan,995000000
3,70,60,tangerang_selatan,850000000
3,90,90,tangerang_selatan,1950000000
3,180,184,tangerang_selatan,3650000000
2,74,56,tangerang_selatan,1778900000
2,63,48,tangerang_selatan,1537100000
3,72,78,tangerang_selatan,1800000000
3,93,66,tangerang_selatan,1897621250
3,100,120,tangerang_selatan,1100000000
3,72,78,tangerang_selatan,1800000000
3,113,104,tangerang_selatan,1800000000
5,245,384,tangerang_selatan,9000000000
4,360,241,tangerang_selatan,3500000000
2,120,240,tangerang_selatan,3000000000
3,70,60,tangerang_selatan,700000000
2,113,167,tangerang_selatan,1900000000
5,151,131,tangerang_selatan,3261180000
4,400,461,tangerang_selatan,2000000000
4,105,105,tangerang_selatan,1900000000
2,58,135,tangerang_selatan,1650000000
2,36,60,tangerang_selatan,150000000
4,90,86,tangerang_selatan,1950000000
3,125,84,tangerang_selatan,1580000000
3,97,97,tangerang_selatan,1600000000
3,150,198,tangerang_selatan,1700000000
4,80,128,tangerang_selatan,1250000000
5,200,253,tangerang_selatan,3500000000
3,60,122,tangerang_selatan,1275000000
4,90,32,tangerang_selatan,1571354100
4,100,120,tangerang_selatan,1900000000
3,90,140,tangerang_selatan,2300000000
6,200,175,tangerang_selatan,3200000000
4,173,136,tangerang_selatan,3300000000
3,80,77,tangerang_selatan,2470000000
3,70,84,tangerang_selatan,1350000000
3,55,60,tangerang_selatan,599000000
4,170,135,tangerang_selatan,2450000000
3,120,106,tangerang_selatan,1600000000
4,200,200,tangerang_selatan,4600000000
4,90,150,tangerang_selatan,2200000000
2,150,90,tangerang_selatan,1300000000
3,118,90,tangerang_selatan,1950000000
3,170,135,tangerang_selatan,2550000000
7,200,375,tangerang_selatan,6000000000
4,285,180,tangerang_selatan,4800000000
4,283,216,tangerang_selatan,7109900000
5,283,216,tangerang_selatan,7397100000
4,130,94,tangerang_selatan,2100000000
3,100,118,tangerang_selatan,1820000000
4,175,162,tangerang_selatan,2900000000
4,175,150,tangerang_selatan,5000000000
2,33,60,tangerang_selatan,670000000
2,36,60,tangerang_selatan,900000000
3,147,103,tangerang_selatan,1950000000
4,115,165,tangerang_selatan,1800000000
3,185,225,tangerang_selatan,3700000000
4,200,250,tangerang_selatan,3900000000
4,210,144,tangerang_selatan,3500000000
4,250,185,tangerang_selatan,4100000000
3,108,74,tangerang_selatan,1200000000
4,135,123,tangerang_selatan,3300000000
3,125,139,tangerang_selatan,2250000000
3,65,82,tangerang_selatan,720000000
5,200,147,tangerang_selatan,2700000000
2,41,75,tangerang_selatan,1500000000
3,150,131,tangerang_selatan,2600000000
3,70,60,tangerang_selatan,700000000
4,183,136,tangerang_selatan,3800000000
3,69,74,tangerang_selatan,1295000000
4,200,395,tangerang_selatan,4900000000
5,150,98,tangerang_selatan,1900000000
2,62,71,tangerang_selatan,1297000000
5,315,350,tangerang_selatan,7950000000
2,54,62,tangerang_selatan,790000000
2,60,62,tangerang_selatan,1000000000
3,59,72,tangerang_selatan,1035434497
5,410,2120,tangerang_selatan,16000000000
3,120,105,tangerang_selatan,4150000000
3,78,117,tangerang_selatan,1990000000
3,120,144,tangerang_selatan,2250000000
5,144,84,tangerang_selatan,2789900000
5,500,560,tangerang_selatan,6800000000
4,97,90,tangerang_selatan,1690000000
3,100,84,tangerang_selatan,2250000000
4,300,250,tangerang_selatan,5500000000
2,65,120,tangerang_selatan,1560000000
10,452,300,tangerang_selatan,10000000000
3,85,60,tangerang_selatan,1330871188
3,170,135,tangerang_selatan,3750000000
3,85,62,tangerang_selatan,1400000000
4,88,75,tangerang_selatan,1500000000
3,69,77,tangerang_selatan,1200000000
5,180,208,tangerang_selatan,2395000000
2,110,142,tangerang_selatan,3000000000
4,100,78,tangerang_selatan,1690000000
4,135,160,tangerang_selatan,5500000000
5,326,180,tangerang_selatan,4800000000
2,45,84,tangerang_selatan,875000000
4,200,120,tangerang_selatan,2575000000
4,235,227,tangerang_selatan,2900000000
4,256,221,tangerang_selatan,5700000000
3,90,135,tangerang_selatan,2300000000
2,60,90,tangerang_selatan,1500000000
4,200,144,tangerang_selatan,2950000000
2,110,125,tangerang_selatan,1300000000
3,90,70,tangerang_selatan,1250000000
5,150,98,tangerang_selatan,2250000000
4,220,150,tangerang_selatan,2800000000
2,70,80,tangerang_selatan,930000000
4,300,240,tangerang_selatan,1700000000
2,186,143,tangerang_selatan,2600000000
2,48,48,tangerang_selatan,1200000000
3,62,60,tangerang_selatan,1200000000
4,165,95,tangerang_selatan,2600000000
4,107,117,tangerang_selatan,2500000000
2,50,84,tangerang_selatan,1470000000
2,39,96,tangerang_selatan,750000000
2,82,126,tangerang_selatan,1450000000
3,100,175,tangerang_selatan,1600000000
5,180,250,tangerang_selatan,3800000000
3,186,259,tangerang_selatan,5600000000
3,240,260,tangerang_selatan,1400000000
4,90,85,tangerang_selatan,1650000000
4,230,194,tangerang_selatan,5500000000
4,85,84,tangerang_selatan,1600000000
4,150,98,tangerang_selatan,2200000000
3,83,72,tangerang_selatan,2200000000
3,65,173,tangerang_selatan,4200000000
4,290,264,tangerang_selatan,5900000000
3,120,115,tangerang_selatan,2500000000
10,180,210,tangerang_selatan,2500000000
5,250,316,tangerang_selatan,7200000000
5,200,180,tangerang_selatan,3400000000
5,270,180,tangerang_selatan,3200000000
3,160,179,tangerang_selatan,2700000000
2,54,105,tangerang_selatan,1320000000
32,52,66,tangerang_selatan,947800000
3,77,65,tangerang_selatan,2140000000
3,206,154,tangerang_selatan,3100000000
4,195,128,tangerang_selatan,2900000000
4,115,72,tangerang_selatan,2000000000
3,90,135,tangerang_selatan,2540000000
4,242,180,tangerang_selatan,7500000000
4,260,300,tangerang_selatan,7500000000
5,500,360,tangerang_selatan,6000000000
3,250,180,tangerang_selatan,3788000000
4,370,280,tangerang_selatan,5500000000
3,144,128,tangerang_selatan,3100000000
3,130,124,tangerang_selatan,2399000000
3,117,105,tangerang_selatan,2300000000
4,200,156,tangerang_selatan,3500000000
4,300,180,tangerang_selatan,2850000000
4,398,312,tangerang_selatan,16000000000
3,170,180,tangerang_selatan,4000000000
3,111,180,tangerang_selatan,3530000000
2,60,92,tangerang_selatan,1300000000
3,67,68,tangerang_selatan,1022775000
3,120,90,tangerang_selatan,1600000000
4,110,105,tangerang_selatan,2500000000
4,150,180,tangerang_selatan,3650000000
2,80,120,tangerang_selatan,1800000000
2,100,100,tangerang_selatan,1100000000
4,225,160,tangerang_selatan,3000000000
4,175,150,tangerang_selatan,4300000000
3,185,225,tangerang_selatan,3700000000
4,160,96,tangerang_selatan,1300000000
3,84,72,tangerang_selatan,2350000000
3,120,96,tangerang_selatan,2659500000
4,130,120,tangerang_selatan,3000000000
3,90,120,tangerang_selatan,750000000
2,43,72,tangerang_selatan,1290000000
2,34,72,tangerang_selatan,820000000
4,120,160,tangerang_selatan,1600000000
4,200,144,tangerang_selatan,2950000000
6,633,465,tangerang_selatan,2650000000
5,200,139,tangerang_selatan,3000000000
2,69,69,tangerang_selatan,775000000
3,137,84,tangerang_selatan,3352955000
5,235,146,tangerang_selatan,3750000000
4,140,120,tangerang_selatan,3900000000
3,126,84,tangerang_selatan,2900000000
2,37,60,tangerang_selatan,699999000
4,250,324,tangerang_selatan,2500000000
5,165,112,tangerang_selatan,3411152000
3,88,90,tangerang_selatan,1660000000
2,54,90,tangerang_selatan,1475000000
4,150,98,tangerang_selatan,2250000000
2,72,72,tangerang_selatan,1400000000
3,107,117,tangerang_selatan,2400000000
2,65,75,tangerang_selatan,870000000
1,24,50,tangerang_selatan,740000000
2,54,72,tangerang_selatan,960000000
4,220,162,tangerang_selatan,3400000000
4,134,120,tangerang_selatan,2900000000
2,31,60,tangerang_selatan,400000000
3,81,60,tangerang_selatan,1450000000
3,65,60,tangerang_selatan,495000000
2,36,36,tangerang_selatan,350000000
3,71,72,tangerang_selatan,1000000000
8,218,251,tangerang_selatan,6000000000
3,132,87,tangerang_selatan,1200000000
2,120,135,tangerang_selatan,1000000000
4,247,300,tangerang_selatan,6600000000
4,180,120,tangerang_selatan,2200000000
3,56,64,tangerang_selatan,400000000
5,180,150,tangerang_selatan,4500000000
3,100,72,tangerang_selatan,1750000000
2,37,61,tangerang_selatan,295000000
3,142,128,tangerang_selatan,3100000000
4,225,200,tangerang_selatan,4500000000
4,210,144,tangerang_selatan,2750000000
3,78,117,tangerang_selatan,1990000000
2,96,73,tangerang_selatan,2400000000
3,142,120,tangerang_selatan,2800000000
4,225,250,tangerang_selatan,5000000000
5,337,220,tangerang_selatan,9500000000
3,72,112,tangerang_selatan,1750000000
6,460,375,tangerang_selatan,7500000000
3,80,72,tangerang_selatan,1475000000
2,62,72,tangerang_selatan,1475000000
3,118,90,tangerang_selatan,1975000000
5,172,162,tangerang_selatan,3150000000
4,350,150,tangerang_selatan,3200000000
4,243,176,tangerang_selatan,4900000000
5,350,200,tangerang_selatan,4950000000
4,150,135,tangerang_selatan,3600000000
4,200,112,tangerang_selatan,2650000000
2,150,214,tangerang_selatan,970000000
3,150,90,tangerang_selatan,2300000000
3,100,120,tangerang_selatan,2150000000
5,150,98,tangerang_selatan,2200000000
4,103,140,tangerang_selatan,1990000000
4,150,90,tangerang_selatan,2250000000
3,129,138,tangerang_selatan,3400000000
4,78,200,tangerang_selatan,2200000000
2,42,98,tangerang_selatan,720000000
4,348,250,tangerang_selatan,7850000000
3,111,123,tangerang_selatan,3800000000
4,170,123,tangerang_selatan,3400000000
4,283,248,tangerang_selatan,8250000000
5,180,180,tangerang_selatan,1850000000
4,171,135,tangerang_selatan,3500000000
4,167,192,tangerang_selatan,3350000000
4,170,136,tangerang_selatan,2150000000
4,160,240,tangerang_selatan,2700000000
3,129,138,tangerang_selatan,3100000000
4,400,185,tangerang_selatan,5500000000
4,110,162,tangerang_selatan,2300000000
4,190,140,tangerang_selatan,2750000000
15,300,155,tangerang_selatan,4000000000
4,243,176,tangerang_selatan,4900000000
3,72,112,tangerang_selatan,1750000000
3,100,84,tangerang_selatan,1350000000
4,265,200,tangerang_selatan,3800000000
4,200,112,tangerang_selatan,1990000000
9,740,770,tangerang_selatan,16000000000
3,132,90,tangerang_selatan,1450000000
3,72,112,tangerang_selatan,1750000000
4,120,162,tangerang_selatan,2500000000
1,24,50,tangerang_selatan,740000000
2,60,90,tangerang_selatan,950000000
1,75,75,tangerang_selatan,900000000
7,200,117,tangerang_selatan,1700000000
3,88,94,tangerang_selatan,1440000000
3,1173,383,tangerang_selatan,7500000000
5,350,326,tangerang_selatan,9000000000
2,48,95,tangerang_selatan,750000000
5,250,378,tangerang_selatan,4750000000
3,180,144,tangerang_selatan,4150000000
2,110,120,tangerang_selatan,2450000000
4,285,183,tangerang_selatan,4800000000
5,600,252,tangerang_selatan,5300000000
7,250,225,tangerang_selatan,2800000000
2,40,63,tangerang_selatan,475000000
5,250,150,tangerang_selatan,2250000000
2,36,72,tangerang_selatan,810000000
3,80,75,tangerang_selatan,1500000000
3,200,150,tangerang_selatan,3300000000
3,60,82,tangerang_selatan,1750000000
4,330,285,tangerang_selatan,6300000000
1,150,144,tangerang_selatan,2950000000
3,130,125,tangerang_selatan,2750000000
3,115,105,tangerang_selatan,1650000000
2,42,60,tangerang_selatan,519200000
3,80,60,tangerang_selatan,1000000000
2,60,59,tangerang_selatan,900000000
3,70,112,tangerang_selatan,1850000000
2,180,108,tangerang_selatan,2150000000
4,335,375,tangerang_selatan,10000000000
4,200,130,tangerang_selatan,2700000000
3,69,70,tangerang_selatan,1200000000
2,54,62,tangerang_selatan,820000000
4,250,598,tangerang_selatan,8500000000
3,72,99,tangerang_selatan,8250000000
3,120,105,tangerang_selatan,2500000000
4,250,376,tangerang_selatan,5500000000
2,54,62,tangerang_selatan,795000000
3,80,61,tangerang_selatan,1100000000
3,92,126,tangerang_selatan,2600000000
3,80,90,tangerang_selatan,1250000000
3,110,419,tangerang_selatan,5000000000
7,597,412,tangerang_selatan,10000000000
2,70,108,tangerang_selatan,1500000000
4,800,300,tangerang_selatan,16000000000
